採否	語	content	一致	落とした理由
除外	1人	食事	1/2	品詞から取れる（副詞可能 → #時間）; 票が 1 件だけ
除外	1日	健康	1/2	2 形態素に割れる; 票が 1 件だけ
除外	2人	家族	1/1	品詞から取れる（副詞可能 → #時間）; 票が 1 件だけ
除外	360度評価	仕事	1/1	票が 1 件だけ
除外	AAA	金銭	1/1	記号か英数のみ; 票が 1 件だけ
除外	ABC分析	交通	1/1	票が 1 件だけ
除外	ABO	身体	1/1	記号か英数のみ; 票が 1 件だけ
除外	ACCESS	情報	2/2	記号か英数のみ; 動作を指す名詞（サ変可能）; 票が 2 件だけ
除外	ADL	健康	2/3	記号か英数のみ; 票が 2 件だけ
除外	AI	情報	6/21	記号か英数のみ; 首位の占有率 29% が閾値未満
除外	AND	情報	1/3	記号か英数のみ; 票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	API	情報	2/2	記号か英数のみ; 票が 2 件だけ
除外	AREA	情報	1/4	記号か英数のみ; 票が 1 件だけ; 首位の占有率 25% が閾値未満
除外	ATP	身体	1/1	記号か英数のみ; 票が 1 件だけ
除外	ATTENTION	情報	2/3	記号か英数のみ; 票が 2 件だけ
除外	AUC	情報	1/2	記号か英数のみ; 票が 1 件だけ
除外	Act	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	Application	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	Arm	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	Assessment	学習	1/2	記号か英数のみ; 票が 1 件だけ
除外	BGM	家族	1/2	記号か英数のみ; 票が 1 件だけ
除外	BMI	食事	1/1	記号か英数のみ; 票が 1 件だけ
除外	BNP	健康	1/2	記号か英数のみ; 票が 1 件だけ
除外	Bean	食事	1/1	記号か英数のみ; 票が 1 件だけ
除外	Body	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	B型	身体	2/3	票が 2 件だけ
除外	CAC	仕事	1/1	記号か英数のみ; 票が 1 件だけ
除外	CAS	自然	1/1	記号か英数のみ; 票が 1 件だけ
除外	CD	情報	1/4	記号か英数のみ; 票が 1 件だけ; 首位の占有率 25% が閾値未満
除外	CHECK	交通	1/1	記号か英数のみ; 動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	CI	情報	1/2	記号か英数のみ; 票が 1 件だけ
除外	CM	食事	1/2	記号か英数のみ; 票が 1 件だけ
除外	CO2	自然	2/3	記号か英数のみ; 票が 2 件だけ
除外	COPD	健康	1/2	記号か英数のみ; 票が 1 件だけ
除外	CPU	情報	2/2	記号か英数のみ; 票が 2 件だけ
除外	CRP	健康	1/2	記号か英数のみ; 票が 1 件だけ
除外	CSR	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	CT	健康	6/7	記号か英数のみ
除外	Ca	健康	1/2	記号か英数のみ; 票が 1 件だけ
除外	Change	失敗	1/1	記号か英数のみ; 動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	CoQ	食事	1/1	記号か英数のみ; 票が 1 件だけ
除外	Community	自然	1/1	記号か英数のみ; 票が 1 件だけ
除外	Content	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	Control	情報	1/2	記号か英数のみ; 動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	Core	情報	1/1	記号か英数のみ; 性質を指す名詞（形状詞可能）; 票が 1 件だけ
除外	C評価	情報	1/1	票が 1 件だけ
除外	D&I	自然	1/1	票が 1 件だけ
除外	DA	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	DAO	金銭	1/2	記号か英数のみ; 票が 1 件だけ
除外	DATA	情報	1/3	記号か英数のみ; 票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	DBS	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	DDos攻撃	情報	1/1	票が 1 件だけ
除外	DHA	食事	1/1	記号か英数のみ; 票が 1 件だけ
除外	DIY	住居	1/2	記号か英数のみ; 票が 1 件だけ
除外	DNA	自然	6/10	記号か英数のみ
除外	DOE	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	DQN	金銭	1/2	記号か英数のみ; 票が 1 件だけ
除外	DRIVER	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	DV	家族	1/1	記号か英数のみ; 票が 1 件だけ
除外	DX	住居	1/1	記号か英数のみ; 票が 1 件だけ
除外	DeFi	金銭	1/2	記号か英数のみ; 票が 1 件だけ
除外	Deep	学習	1/1	記号か英数のみ; 性質を指す名詞（形状詞可能）; 票が 1 件だけ
除外	Defense	法制度	1/1	記号か英数のみ; 票が 1 件だけ
除外	Delivery	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	Detection	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	DevOps	仕事	1/1	記号か英数のみ; 票が 1 件だけ
除外	Display	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	EBITDA	金銭	1/1	記号か英数のみ; 票が 1 件だけ
除外	ECサイト	情報	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	EDI	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	EDR	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	ELISA	健康	1/2	記号か英数のみ; 票が 1 件だけ
除外	EPA	食事	1/1	記号か英数のみ; 票が 1 件だけ
除外	ERP	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	ESG	自然	1/2	記号か英数のみ; 票が 1 件だけ
採用	ESG投資	金銭	3/6	
除外	ETA	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	ETC	交通	2/3	記号か英数のみ; 票が 2 件だけ
除外	Email	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	Environment	金銭	2/3	記号か英数のみ; 票が 2 件だけ
除外	FAQ	情報	1/3	記号か英数のみ; 票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	FRP	住居	1/1	記号か英数のみ; 票が 1 件だけ
除外	FX	金銭	2/2	記号か英数のみ; 票が 2 件だけ
除外	Force	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	Free	学習	1/1	記号か英数のみ; 性質を指す名詞（形状詞可能）; 票が 1 件だけ
除外	GI	食事	2/3	記号か英数のみ; 票が 2 件だけ
除外	GIS	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	GIT	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	GPA	学習	1/1	記号か英数のみ; 票が 1 件だけ
除外	GPS	交通	2/2	記号か英数のみ; 票が 2 件だけ
除外	GPU	情報	2/3	記号か英数のみ; 票が 2 件だけ
除外	Gb	法制度	1/1	記号か英数のみ; 品詞から取れる（助数詞可能 → #数量）; 票が 1 件だけ
除外	Group	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	HDD	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	HLA	身体	1/1	記号か英数のみ; 票が 1 件だけ
除外	HP	交通	1/2	記号か英数のみ; 票が 1 件だけ
除外	HR	仕事	1/1	記号か英数のみ; 票が 1 件だけ
除外	IAC	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	ICカード	仕事	1/3	票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	ID	情報	3/3	記号か英数のみ
除外	IFRS	金銭	1/1	記号か英数のみ; 票が 1 件だけ
除外	IH	食事	1/2	記号か英数のみ; 票が 1 件だけ
除外	INDEX	食事	2/3	記号か英数のみ; 票が 2 件だけ
除外	INFORMATION	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	INR	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	INS	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	IT	仕事	4/6	記号か英数のみ
除外	In	情報	1/2	記号か英数のみ; 票が 1 件だけ
除外	IoT	自然	1/1	記号か英数のみ; 票が 1 件だけ
除外	Ir	仕事	1/1	記号か英数のみ; 票が 1 件だけ
除外	KPI	仕事	9/11	記号か英数のみ
除外	Key	移動	1/1	記号か英数のみ; 票が 1 件だけ
除外	LAN	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	LCA	自然	2/2	記号か英数のみ; 票が 2 件だけ
除外	LED	金銭	1/1	記号か英数のみ; 票が 1 件だけ
除外	LIFE	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	LTV	仕事	1/1	記号か英数のみ; 票が 1 件だけ
除外	Learning	情報	5/8	記号か英数のみ
除外	Light	食事	1/1	記号か英数のみ; 票が 1 件だけ
除外	Linux	情報	2/2	記号か英数のみ; 票が 2 件だけ
除外	Living	健康	2/3	記号か英数のみ; 票が 2 件だけ
除外	Local	情報	2/2	記号か英数のみ; 性質を指す名詞（形状詞可能）; 票が 2 件だけ
除外	Low	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	MANAGEMENT	情報	2/3	記号か英数のみ; 票が 2 件だけ
除外	MAX	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	MC	家族	1/1	記号か英数のみ; 票が 1 件だけ
除外	MFA	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	MI	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	MR	健康	2/2	記号か英数のみ; 票が 2 件だけ
除外	MRI	健康	6/9	記号か英数のみ
除外	MVP	仕事	2/2	記号か英数のみ; 票が 2 件だけ
除外	Manager	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	Memory	情報	1/2	記号か英数のみ; 票が 1 件だけ
除外	Minimum	仕事	2/2	記号か英数のみ; 票が 2 件だけ
除外	Motion	健康	1/2	記号か英数のみ; 票が 1 件だけ
除外	NFT	金銭	1/2	記号か英数のみ; 票が 1 件だけ
除外	NG	身体	1/1	記号か英数のみ; 票が 1 件だけ
除外	NPS	仕事	1/1	記号か英数のみ; 票が 1 件だけ
除外	NUMBER	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	NV	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	Network	情報	4/6	記号か英数のみ
除外	Next	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	OCR	仕事	1/3	記号か英数のみ; 票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	OJT	仕事	3/4	記号か英数のみ
除外	OK	食事	2/5	記号か英数のみ; 動作を指す名詞（サ変可能）; 票が 2 件だけ; 首位の占有率 40% が閾値未満
除外	OKR	移動	1/1	記号か英数のみ; 票が 1 件だけ
除外	OS	情報	2/2	記号か英数のみ; 票が 2 件だけ
除外	Open	情報	1/2	記号か英数のみ; 動作を指す名詞（サ変形状詞可能）; 票が 1 件だけ
除外	Order	交通	1/1	記号か英数のみ; 動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	Over	食事	1/1	記号か英数のみ; 動作を指す名詞（サ変形状詞可能）; 票が 1 件だけ
除外	PCA	移動	1/1	記号か英数のみ; 票が 1 件だけ
除外	PCR	法制度	1/1	記号か英数のみ; 票が 1 件だけ
除外	PCR検査	健康	2/2	票が 2 件だけ
除外	PDCAサイクル	仕事	1/2	票が 1 件だけ
除外	PER	金銭	2/2	記号か英数のみ; 票が 2 件だけ
除外	PET	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	PL	交通	2/2	記号か英数のみ; 票が 2 件だけ
除外	PLAN	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	PMS	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	POS	金銭	2/2	記号か英数のみ; 票が 2 件だけ
除外	PR	仕事	3/3	記号か英数のみ; 動作を指す名詞（サ変可能）
除外	PSA	健康	2/2	記号か英数のみ; 票が 2 件だけ
除外	Pd	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	Performance	情報	1/2	記号か英数のみ; 票が 1 件だけ
除外	Point	情報	1/1	記号か英数のみ; 品詞から取れる（助数詞可能 → #数量）; 票が 1 件だけ
除外	Policy	学習	1/1	記号か英数のみ; 票が 1 件だけ
除外	Problem	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	Product	仕事	2/2	記号か英数のみ; 票が 2 件だけ
除外	Progressive	情報	1/2	記号か英数のみ; 性質を指す名詞（形状詞可能）; 票が 1 件だけ
除外	QOL	健康	3/3	記号か英数のみ
除外	QoS	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	Quality	情報	1/2	記号か英数のみ; 票が 1 件だけ
除外	Query	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	RAS	自然	1/1	記号か英数のみ; 票が 1 件だけ
除外	REIT	金銭	1/1	記号か英数のみ; 票が 1 件だけ
除外	RNA	自然	2/2	記号か英数のみ; 票が 2 件だけ
除外	ROI	仕事	2/2	記号か英数のみ; 票が 2 件だけ
除外	ROM	健康	1/2	記号か英数のみ; 票が 1 件だけ
除外	RTK	交通	1/1	記号か英数のみ; 票が 1 件だけ
除外	Rate	仕事	1/1	記号か英数のみ; 票が 1 件だけ
除外	Red	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	Return	学習	1/1	記号か英数のみ; 動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	Role	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	SAT	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	SDGs	自然	1/1	記号か英数のみ; 票が 1 件だけ
除外	SEO	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	SH	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	SIDE	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	SNS	仕事	3/7	記号か英数のみ; 首位の占有率 43% が閾値未満
除外	SQL	仕事	3/4	記号か英数のみ
除外	SSR	情報	1/1	記号か英数のみ; 票が 1 件だけ
除外	SaaS	仕事	3/4	記号か英数のみ
除外	Science	学習	1/1	記号か英数のみ; 票が 1 件だけ
除外	Security	情報	2/2	記号か英数のみ; 票が 2 件だけ
除外	Server	情報	3/3	記号か英数のみ
除外	Service	情報	3/4	記号か英数のみ; 動作を指す名詞（サ変可能）
除外	Social	金銭	2/3	記号か英数のみ; 票が 2 件だけ
除外	Software as a Service	情報	1/1	長すぎる; 票が 1 件だけ
除外	SpO	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	Space	情報	1/3	記号か英数のみ; 票が 1 件だけ; 首位の占有率 33% が閾値未満
除外	State	状態	1/2	記号か英数のみ; 票が 1 件だけ
除外	Study	健康	1/1	記号か英数のみ; 票が 1 件だけ
除外	System	情報	2/5	記号か英数のみ; 票が 2 件だけ; 首位の占有率 40% が閾値未満
除外	THE	情報	1/2	記号か英数のみ; 票が 1 件だけ
除外	Time	交通	2/5	記号か英数のみ; 票が 2 件だけ; 首位の占有率 40% が閾値未満
除外	Transfer	情報	1/1	記号か英数のみ; 動作を指す名詞（サ変可能）; 票が 1 件だけ
除外	Type	身体	1/1	記号か英数のみ; 票が 1 件だけ
除外	UI	情報	2/3	記号か英数のみ; 票が 2 件だけ
